2026/08/18 13:27:25.321, 0, 0, 40960
2026/08/18 13:27:26.347, 0, 0, 40960
2026/08/18 13:27:27.388, 0, 0, 40960
2026/08/18 13:27:28.409, 0, 0, 40960
2026/08/18 13:27:29.430, 0, 0, 40960
2026/08/18 13:27:30.451, 0, 0, 40960
2026/08/18 13:27:31.473, 0, 0, 40960
2026/08/18 13:27:32.497, 0, 0, 40960
2026/08/18 13:27:33.517, 0, 0, 40960
2026/08/18 13:27:34.538, 0, 0, 40960
2026/08/18 13:27:35.558, 0, 431, 40960
2026/08/18 13:27:36.579, 0, 433, 40960
2026/08/18 13:27:37.598, 0, 2555, 40960
2026/08/18 13:27:38.619, 0, 8699, 40960
2026/08/18 13:27:39.639, 0, 8699, 40960
2026/08/18 13:27:40.659, 0, 8699, 40960
2026/08/18 13:27:41.685, 0, 8699, 40960
2026/08/18 13:27:42.713, 0, 8699, 40960
2026/08/18 13:27:43.741, 0, 8699, 40960
2026/08/18 13:27:44.770, 0, 8699, 40960
2026/08/18 13:27:45.797, 0, 8699, 40960
2026/08/18 13:27:46.825, 0, 8699, 40960
2026/08/18 13:27:47.852, 0, 8699, 40960
2026/08/18 13:27:48.886, 0, 8699, 40960
2026/08/18 13:27:49.913, 0, 8699, 40960
2026/08/18 13:27:50.939, 0, 8699, 40960
2026/08/18 13:27:51.966, 0, 8699, 40960
2026/08/18 13:27:52.992, 0, 8699, 40960
2026/08/18 13:27:54.018, 0, 8699, 40960
2026/08/18 13:27:55.047, 0, 8699, 40960
2026/08/18 13:27:56.074, 0, 8699, 40960
2026/08/18 13:27:57.100, 0, 8699, 40960
2026/08/18 13:27:58.127, 0, 8699, 40960
2026/08/18 13:27:59.153, 0, 8699, 40960
2026/08/18 13:28:00.184, 0, 8701, 40960
2026/08/18 13:28:01.212, 0, 8701, 40960
2026/08/18 13:28:02.239, 0, 8701, 40960
2026/08/18 13:28:03.266, 0, 8701, 40960
2026/08/18 13:28:04.293, 0, 8701, 40960
2026/08/18 13:28:05.319, 0, 8705, 40960
2026/08/18 13:28:06.346, 0, 8705, 40960
2026/08/18 13:28:07.372, 0, 8705, 40960
2026/08/18 13:28:08.399, 0, 8705, 40960
2026/08/18 13:28:09.426, 0, 25089, 40960
2026/08/18 13:28:10.452, 0, 25089, 40960
2026/08/18 13:28:11.478, 0, 25089, 40960
2026/08/18 13:28:12.500, 0, 25089, 40960
2026/08/18 13:28:13.520, 0, 25089, 40960
2026/08/18 13:28:14.541, 0, 25089, 40960
2026/08/18 13:28:15.561, 0, 25089, 40960
2026/08/18 13:28:16.581, 0, 25089, 40960
2026/08/18 13:28:17.601, 0, 25089, 40960
2026/08/18 13:28:18.621, 0, 25089, 40960
2026/08/18 13:28:19.640, 0, 25089, 40960
2026/08/18 13:28:20.660, 0, 25089, 40960
2026/08/18 13:28:21.680, 0, 25089, 40960
2026/08/18 13:28:22.700, 0, 25089, 40960
2026/08/18 13:28:23.724, 0, 25087, 40960
2026/08/18 13:28:24.744, 0, 445, 40960
