fraction_best_to_nominal,Ab,kb,eField,lifetime,tran_diff,long_diff,native_LLHD,score_log,elapsed_seconds,target_sha256,slurm_job_id
0.125,0.8073672433267767,0.0493272621083198,0.4999959474038971,2137.332134122422,8.871110783000675e-06,3.937069305956161e-06,43475.7265625,-10.67995805127375,31.527236237190664,c2b7c0a7c2c370efe6af34c02acc248a9ce04bb44d4176f09b1752ecb4d8503d,35433457
0.25,0.80631477999438,0.049223367521416976,0.4999965263461975,2146.2846863906475,8.860952099714864e-06,3.946059405105281e-06,43464.2265625,-10.679693500865021,3.8588390219956636,c2b7c0a7c2c370efe6af34c02acc248a9ce04bb44d4176f09b1752ecb4d8503d,35433457
0.375,0.8052623166619833,0.049119472934514144,0.4999971052884979,2155.237238658873,8.850793416429053e-06,3.9550495042544015e-06,43455.62109375,-10.679495491572318,3.8185833413153887,c2b7c0a7c2c370efe6af34c02acc248a9ce04bb44d4176f09b1752ecb4d8503d,35433457
0.5,0.8042098533295867,0.04901557834761132,0.4999976842307983,2164.1897909270983,8.840634733143243e-06,3.964039603403521e-06,43450.27734375,-10.679372513728403,3.8161893831565976,c2b7c0a7c2c370efe6af34c02acc248a9ce04bb44d4176f09b1752ecb4d8503d,35433457
0.625,0.80315738999719,0.04891168376070849,0.49999826317309876,2173.1423431953235,8.830476049857432e-06,3.97302970255264e-06,43447.68359375,-10.679312817275855,3.8163860579952598,c2b7c0a7c2c370efe6af34c02acc248a9ce04bb44d4176f09b1752ecb4d8503d,35433457
0.75,0.8021049266647934,0.048807789173805655,0.49999884211539913,2182.094895463549,8.820317366571622e-06,3.98201980170176e-06,43449.921875,-10.679364332648193,3.8174424301832914,c2b7c0a7c2c370efe6af34c02acc248a9ce04bb44d4176f09b1752ecb4d8503d,35433457
0.875,0.8010524633323967,0.04870389458690283,0.49999942105769957,2191.047447731775,8.810158683285811e-06,3.9910099008508805e-06,43454.7265625,-10.679474906422813,3.8267553793266416,c2b7c0a7c2c370efe6af34c02acc248a9ce04bb44d4176f09b1752ecb4d8503d,35433457
