data_size_label,requested_length_cm,actual_length_cm,repeat,repeat_type,optimizer_seed,target_hash,n_events,n_tracks,n_evaluations,best_llhd,nominal_llhd,best_minus_nominal,relative_best_minus_nominal,Ab,kb,eField,lifetime,tran_diff,long_diff,Ab_nominal,kb_nominal,eField_nominal,lifetime_nominal,tran_diff_nominal,long_diff_nominal,Ab_deviation_pct_range,kb_deviation_pct_range,eField_deviation_pct_range,lifetime_deviation_pct_range,tran_diff_deviation_pct_range,long_diff_deviation_pct_range,gp_cv_rmse,gp_cv_spearman,gp_cv_baseline_rmse,best_first_found_stage,best_first_found_evaluation
200 cm,200,195.33575677871704,0,repeated_execution_same_optimizer_seed,20260812,fe61cf3fdddf3c227a2ae455397584ac420fa0a03cae1ddebeae9d2e0c9ebf3b,33,19535,332,4064.7451171875,4077.038330078125,-12.293212890625,-0.0030152311298945857,0.8115568682485156,0.04986466543692199,0.5000041597808723,2183.695580784696,9.016168178801736e-06,3.900548767455727e-06,0.8,0.0486,0.5,2200.0,8.8e-06,4e-06,7.7045788323436915,2.5293308738439793,0.02079890436157415,-0.2911503431304254,1.801401490014462,-1.1050136949363627,0.15723578892107415,0.9959468805244658,1.0713435471801518,BO_TR2,323
200 cm,200,195.33575677871704,1,repeated_execution_same_optimizer_seed,20260812,fe61cf3fdddf3c227a2ae455397584ac420fa0a03cae1ddebeae9d2e0c9ebf3b,33,19535,332,4062.404296875,4077.038330078125,-14.634033203125,-0.0035893783718350717,0.8087735728941597,0.04951798637691808,0.5000063783290373,2188.209717999718,9.034701562585717e-06,3.856703692179541e-06,0.8,0.0486,0.5,2200.0,8.8e-06,4e-06,5.849048596106464,1.8359727538361652,0.03189164518635487,-0.21054075000503353,1.9558463548809708,-1.5921811980051024,0.1371782209471214,0.992610927092054,1.0700580634082124,BO_TR2,330
1000 cm,1000,999.926641702652,0,optimizer_seed_repeat,20260812,ed72e051a6111cfee218e0e009a9ebd78ae1167ea7225a58f2ac4b32f6edd34f,176,100010,332,21026.755859375,21028.986328125,-2.23046875,-0.00010606639403331024,0.8006934929933665,0.048716177401864125,0.4999923871197255,2241.726206027738,8.827187634158596e-06,4.002600755077654e-06,0.8,0.0486,0.5,2200.0,8.8e-06,4e-06,0.4623286622442712,0.23235480372825468,-0.03806440137255059,0.7451108219238937,0.2265636179882936,0.02889727864060402,0.14542361724497874,0.9947040550542172,1.048274992680315,BO_TR2,331
1000 cm,1000,999.926636338234,1,optimizer_seed_repeat,20260813,ed72e051a6111cfee218e0e009a9ebd78ae1167ea7225a58f2ac4b32f6edd34f,176,100010,332,21021.3515625,21028.986328125,-7.634765625,-0.00036305913684431674,0.7999657705980207,0.04858419445162512,0.4999919791750447,2203.6364690515557,8.852695482959166e-06,3.891628984048955e-06,0.8,0.0486,0.5,2200.0,8.8e-06,4e-06,-0.022819601319593964,-0.031611096749747936,-0.0401041247766187,0.06493694734920805,0.439129024659713,-1.2041223994560495,0.11806340424028891,0.9932598852993422,1.0454236740034832,BO_TR2,297
1000 cm,1000,999.926636338234,2,optimizer_seed_repeat,20260814,ed72e051a6111cfee218e0e009a9ebd78ae1167ea7225a58f2ac4b32f6edd34f,176,100010,332,21022.017578125,21028.986328125,-6.96875,-0.000331387823039274,0.801542801173271,0.04872053357745109,0.49999351869200975,2178.103168800896,8.8666572883672e-06,3.913990229230105e-06,0.8,0.0486,0.5,2200.0,8.8e-06,4e-06,1.028534115513994,0.2410671549021859,-0.032406539951235186,-0.3910148428411406,0.5554774030599965,-0.9556641196654965,0.10535421790752354,0.9937491453525377,1.0622687746475774,BO_TR2,321
2000 cm,2000,1998.4871374368668,0,optimizer_seed_repeat,20260812,c2b7c0a7c2c370efe6af34c02acc248a9ce04bb44d4176f09b1752ecb4d8503d,374,199877,332,43451.19140625,43462.88671875,-11.6953125,-0.0002690873382543781,0.8023081205596895,0.04895149123667547,0.4999934251086211,2227.298938079635,8.787987716308146e-06,3.96267553132661e-06,0.8,0.0486,0.5,2200.0,8.8e-06,4e-06,1.5387470397929535,0.7029824733509465,-0.032874456894482734,0.4874810371363359,-0.10010236409878867,-0.4147163185932246,0.11907637289114528,0.9941137949364208,1.0448997105270148,BO_TR2,319
2000 cm,2000,1998.4871374368668,1,optimizer_seed_repeat,20260813,c2b7c0a7c2c370efe6af34c02acc248a9ce04bb44d4176f09b1752ecb4d8503d,374,199877,332,43490.64453125,43462.88671875,27.7578125,0.0006386555195843724,0.8084197066591733,0.04943115669522263,0.49999536846159665,2128.3795818541967,8.881269466286485e-06,3.928079206807042e-06,0.8,0.0486,0.5,2200.0,8.8e-06,4e-06,5.613137772782161,1.6623133904452718,-0.02315769201677307,-1.278936038317917,0.6772455523873726,-0.7991199243661995,0.11549120461199304,0.9651038952340792,1.0460005768573029,BO_TR2,319
2000 cm,2000,1998.4871374368668,2,optimizer_seed_repeat,20260814,c2b7c0a7c2c370efe6af34c02acc248a9ce04bb44d4176f09b1752ecb4d8503d,374,199877,332,43444.8828125,43462.88671875,-18.00390625,-0.00041423631997809915,0.8030098044461418,0.048903546770385053,0.4999949656806086,2173.11814463669,8.798454226411756e-06,3.962391346179422e-06,0.8,0.0486,0.5,2200.0,8.8e-06,4e-06,2.006536297427826,0.6070935407701122,-0.025171596957085353,-0.480033131487679,-0.012881446568705983,-0.41787393133975326,0.15708407656791365,0.9759423892960943,1.0500430920341133,BO_TR2,326
