metric,value
completed,True
n_evaluations,332
best_native_LLHD,43444.8828125
physical_length_cm,1998.4871374368668
requested_length_cm,2000.0
simulator_seed,0
data_seed,0
simulator_elapsed_seconds_sum,1389.5426405202597
unique_coordinates,332
duplicate_coordinates,0
Ab,0.8030098044461418
kb,0.048903546770385053
eField,0.4999949656806086
lifetime,2173.11814463669
tran_diff,8.798454226411756e-06
long_diff,3.962391346179422e-06
